,windSpeed,humidity,temperature,Affluent_Achievers,Rising_Prosperity,Comfortable_Communities,Financially_Stretched,Urban_Adversity,Not_Private_Households,hour,day_of_week,month
2012-07-20 23:00:00,1.79,0.9,13.35,108.7609999,600.2309996999995,386.97100009999997,167.6809999,251.05700010000007,12.864,23,4,7
2012-07-21 00:00:00,1.73,0.9,12.96,79.25999999999998,518.5610002999998,317.8120000999999,129.33899999999994,225.47200000000026,8.7699999,0,5,7
2012-07-21 01:00:00,2.08,0.89,12.87,68.8599999,437.40100000000047,268.3610001,112.36599999999996,209.10799980000004,8.465,1,5,7
2012-07-21 02:00:00,1.69,0.88,12.41,66.84300000000003,394.2320000999997,243.27599999999995,103.46300000000001,177.63800010000014,7.098999999999998,2,5,7
2012-07-21 03:00:00,1.28,0.89,12.31,62.20900000000002,370.08899990000043,232.53100000000006,95.364,161.46300010000002,6.52,3,5,7
2012-07-21 04:00:00,1.44,0.86,12.52,62.95199999999999,372.98400020000014,225.25299999999996,102.98199980000001,152.2539998999999,6.499,4,5,7
2012-07-21 05:00:00,1.14,0.9,11.83,72.4860002,394.0720002000005,243.50200019999994,118.77699990000002,166.45200020000004,9.3540001,5,5,7
2012-07-21 06:00:00,1.78,0.87,12.55,90.28599999999999,501.46900060000013,311.39399990000004,143.30600020000003,197.24000030000022,9.463999999999999,6,5,7
2012-07-21 07:00:00,2.43,0.82,13.4,103.98499969999999,585.5640000999999,389.6659997000002,187.2189999,247.35400010000006,13.677000000000001,7,5,7
2012-07-21 08:00:00,2.38,0.73,14.93,124.30300019999997,667.4299991999995,455.80600000000027,208.50199990000002,251.88299979999988,15.267999999999999,8,5,7
2012-07-21 09:00:00,2.32,0.64,15.99,128.7600003,699.1260002000004,457.2630004,214.72600020000002,266.6989998,16.2039999,9,5,7
2012-07-21 10:00:00,2.13,0.61,17.02,125.43800019999996,701.6759998000002,456.74600019999997,233.754,282.91100000000006,22.210999800000003,10,5,7
2012-07-21 11:00:00,1.57,0.55,18.32,126.94199979999999,684.3840004999998,448.8429999,228.89000020000003,297.8820002000002,23.126,11,5,7
2012-07-21 12:00:00,0.57,0.54,18.1,127.24300019999997,703.1440002999999,453.3409999000001,207.4340001,297.59700010000034,18.476,12,5,7
2012-07-21 13:00:00,0.85,0.53,18.35,117.03099969999998,674.9360001999995,426.4740001,202.591,289.1010000000001,17.844,13,5,7
2012-07-21 14:00:00,0.89,0.49,18.83,108.69700010000003,637.3650000000004,408.46000009999995,199.20099989999994,277.78600020000005,14.894999999999998,14,5,7
2012-07-21 15:00:00,1.09,0.45,19.89,120.7829999,641.8279997,430.4859999999997,197.172,283.51699980000006,15.873999999999999,15,5,7
2012-07-21 16:00:00,0.41,0.49,19.11,125.643,687.7360004999996,459.881,226.24599989999993,297.2860002,18.04,16,5,7
2012-07-21 17:00:00,0.34,0.5,19.17,127.0370001,730.9869997999988,492.7160001000002,240.72399969999998,313.64800030000004,23.077999999999996,17,5,7
2012-07-21 18:00:00,0.96,0.58,18.26,138.3459997,816.4770008999999,523.3180002000001,242.11300009999997,344.8060003999997,22.1480002,18,5,7
2012-07-21 19:00:00,1.06,0.57,17.95,147.38599960000002,822.7309996999995,512.8329995,247.36700009999998,348.3680000000001,23.857,19,5,7
2012-07-21 20:00:00,1.24,0.67,17.08,142.78599979999996,842.7510003999996,535.1340003,243.48499970000012,361.7569999999998,17.405,20,5,7
2012-07-21 21:00:00,1.75,0.72,16.39,152.2729999,836.7559999999994,532.4490003999998,260.54199989999995,342.99999970000005,17.3269998,21,5,7
2012-07-21 22:00:00,1.74,0.79,15.07,132.5150003,746.0449999999992,458.8930001,219.27299989999997,299.9009999999999,14.902000100000002,22,5,7
2012-08-23 23:00:00,1.96,0.77,16.04,106.70000020000002,542.6359998999997,355.7669995000001,159.17799990000003,240.12400009999982,12.7950001,23,3,8
2012-08-24 00:00:00,1.81,0.8,15.53,86.5739999,464.1019999000005,289.90999999999997,127.97899999999998,230.26599950000025,10.291000100000002,0,4,8
2012-08-24 01:00:00,1.91,0.82,15.17,72.5970001,408.8659999000006,246.43399999999988,114.20499999999998,193.3610000000001,9.29,1,4,8
2012-08-24 02:00:00,2.06,0.82,15.07,69.12000000000002,375.64399990000027,225.00100010000003,107.88,167.331,8.089000000000002,2,4,8
2012-08-24 03:00:00,2.15,0.82,14.55,64.0449999,353.304999900001,220.83999980000002,105.156,154.69699989999992,7.300999999999998,3,4,8
2012-08-24 04:00:00,2.11,0.84,14.09,65.6250001,369.04699990000006,228.41599990000003,108.606,149.99200009999996,7.598000000000001,4,4,8
2012-08-24 05:00:00,2.0,0.84,14.07,76.563,417.04799979999973,277.02499989999995,126.5160001,174.56199979999994,9.331,5,4,8
2012-08-24 06:00:00,2.07,0.84,14.15,99.79699990000003,515.1099999999999,346.26200070000004,159.027,203.28600000000012,11.3430001,6,4,8
2012-08-24 07:00:00,2.17,0.8,15.29,111.20900010000003,603.8999997999998,380.2199997000001,168.73800010000002,235.8070002,21.078999800000002,7,4,8
2012-08-24 08:00:00,2.42,0.78,16.5,124.38399989999999,657.6500001999998,396.69499980000023,181.00499989999994,248.3130001,16.709999999999997,8,4,8
2012-08-24 09:00:00,3.04,0.7,17.54,114.6370001,650.5169999999996,400.1670001000002,183.52200009999999,252.64800000000008,20.845,9,4,8
2012-08-24 10:00:00,3.33,0.62,18.66,116.44000020000001,628.4379998999997,411.47899960000007,183.28499999999997,251.40199990000016,19.465,10,4,8
2012-08-24 11:00:00,3.18,0.61,19.25,112.44299989999999,608.1590001000002,412.00199990000027,182.71799989999994,270.8410001,16.933,11,4,8
2012-08-24 12:00:00,3.47,0.57,19.51,111.47499990000001,606.1719993999998,399.1329999000002,186.28199999999998,269.2729999000002,18.866999899999996,12,4,8
2012-08-24 13:00:00,4.08,0.55,20.2,116.6300002,580.9310005000004,402.5679998999999,178.95000009999995,262.723,20.816999999999997,13,4,8
2012-08-24 14:00:00,4.29,0.58,20.27,111.23299989999997,586.2040003000003,382.3669998000001,183.81400000000002,254.38800010000028,17.342,14,4,8
2012-08-24 15:00:00,4.85,0.62,19.82,111.85200019999996,584.6189998999993,399.6460001,193.4489996,276.5180002000001,19.028999900000002,15,4,8
2012-08-24 16:00:00,5.41,0.71,18.14,129.00099990000004,664.6369997999993,480.47099989999987,229.86800019999998,299.1840003000001,20.165,16,4,8
2012-08-24 17:00:00,3.95,0.77,16.89,145.635,727.8719996,533.9660002,258.29599989999997,331.79599989999997,19.633000000000003,17,4,8
2012-08-24 18:00:00,4.46,0.82,16.4,157.22400040000002,840.3810010000001,569.9049996000003,253.16700029999998,344.7230000999998,22.8109998,18,4,8
2012-08-24 19:00:00,3.88,0.84,16.31,161.52800020000004,897.3080007999997,576.9880002000002,260.2199999000001,351.10200020000013,24.9550001,19,4,8
2012-08-24 20:00:00,3.73,0.85,16.41,166.1649998,895.8629999999993,585.6120001000002,261.37999990000003,338.7709999999999,22.146000099999995,20,4,8
2012-08-24 21:00:00,3.55,0.9,15.98,149.50499999999997,806.8979992999996,540.8779997,245.86100000000005,331.21900010000013,19.545000100000003,21,4,8
2012-08-24 22:00:00,3.49,0.92,16.48,123.73599990000002,683.169998999999,462.13899970000006,209.37900000000002,302.93200029999997,15.5420001,22,4,8
2012-05-06 23:00:00,0.68,0.85,6.37,51.81699989999999,386.3829998000002,181.91600000000008,91.4269999,130.873,4.696000000000001,23,6,5
2012-05-07 00:00:00,0.74,0.9,5.57,41.4130001,376.4350004000003,172.0810002999999,67.5700002,148.92400029999996,3.869,0,0,5
2012-05-07 01:00:00,0.86,0.92,5.2,32.1990002,366.48000029999986,160.0759999,59.85199969999999,160.13899969999997,2.6660000000000004,1,0,5
2012-05-07 02:00:00,1.0,0.92,5.2,30.447000100000004,312.0610006000003,124.3619999,52.92600000000001,121.61399949999998,1.6520000000000004,2,0,5
2012-05-07 03:00:00,1.01,0.92,5.21,29.910999900000004,277.9100000999999,115.55699969999998,51.657999999999994,98.03100049999999,1.7270000000000003,3,0,5
2012-05-07 04:00:00,0.9,0.93,5.48,31.263999999999992,272.62199940000016,117.21199999999997,54.92100009999999,99.01899989999993,1.7309999999999999,4,0,5
2012-05-07 05:00:00,1.54,0.9,5.51,34.809999999999995,303.16500070000006,128.42999980000002,61.2379999,97.96999990000003,3.516,5,0,5
2012-05-07 06:00:00,2.05,0.89,6.43,40.940000000000005,341.2479999000001,158.86099999999993,74.6500001,112.40000020000005,3.5250000000000004,6,0,5
